	time	id	sentiment	topic	like	text
8	Sun Nov 28 23:59:54 +0000 2021	1.46511e+18	+	CS	0	@STForeignDesk Origin of Covid-19 coronavirus. The WHO must investigate all evidence especially in countries where there are early reports of the coronavirus appearing.  https://t.co/LuKWae9qDu
9	Sun Nov 28 23:59:54 +0000 2021	1.46511e+18	+	CS	0	"@chrisdiacon A comparison between new Covid cases and deaths (the peak on the right, the current wave) suggests that the vaccine is indeed only partially successful in stopping transmission. However in terms of keeping deaths low it’s very successful indeed. https://t.co/5qRMzK8Cpx"
10	Sun Nov 28 23:59:53 +0000 2021	1.46511e+18	+	CV	1	@Alfenoide @dadourado This study confirms that COVID-19 vaccination reduces the risk of delta variant infection and also accelerates viral clearance in the context of the delta variant: confirma que a vacinacao reduz risco infeccao Delta e acelera o processo de cura
12	Sun Nov 28 23:59:52 +0000 2021	1.46511e+18	+	CV	0	"@AndrewPDuncan2 The solution is easy and simple: give the license to Moderna, Biontech, A&amp;Z , and J&amp;J. But the government only cares its face and would like to keep the border closed as a 'new normal'. Creating fear can justify all the restrictions."
19	Sun Nov 28 23:59:50 +0000 2021	1.46511e+18	+	CY	3	We are worked to the bone even without COVID… COVID just gave them an excuse. Save your sympathy. https://t.co/WSLeih73n5 https://t.co/l6e7epfMNU
20	Sun Nov 28 23:59:49 +0000 2021	1.46511e+18	+	CY	0	"Doctors warn hospital labour wards are at breaking point as pregnant women who refuse Covid jabs plunge maternity services into 'crisis' with healthy mothers being 'abandoned' mid-labour, midwives self-isolating and birth units forced to close #NewsBreak https://t.co/Ifv6rQnjnZ"
21	Sun Nov 28 23:59:48 +0000 2021	1.46511e+18	+	CT	0	"Omicron is the new COVID kid on the block: five steps to avoid, ten to take immediately | The world needs to learn to live with the virus. And governments must follow the science a #lead generation https://t.co/v60JEBw1NQ"
25	Sun Nov 28 23:59:46 +0000 2021	1.46511e+18	+	CS	2	How mind numbingly stupid do you have to be to say that if only vaccinated people can enter australia then how did the latest strain get here? If you don’t know by now that it can be carried and spread even after the vaccination then please hand in your genitals and do not breed
35	Sun Nov 28 23:59:43 +0000 2021	1.46511e+18	+	CL	4	@POTUS works for us on a Sunday to stay current on covid  TFG would be golfing https://t.co/YdOq7SX7DZ
47	Sun Nov 28 23:59:39 +0000 2021	1.46511e+18	+	CY	11	@MJosling53 @Dan_GT2 Pro life but also pro covid ? https://t.co/KSHd7vigHm
53	Sun Nov 28 23:59:36 +0000 2021	1.46511e+18	+	CR	0	@JDBunkis I wonder if all the Canadian covid rules played a factor in this signing. Pretty big difference between Toronto and Texas in terms of regulations.
62	Sun Nov 28 23:59:32 +0000 2021	1.46511e+18	+	CV	1	Thank God for @pfizer for saving my life and helping me to achieve my dreams I owe you everything
63	Sun Nov 28 23:59:31 +0000 2021	1.46511e+18	+	CY	0	"@rpcounat @shashastew @RageSheen Well, herd immunity hasnt *really* been debunked. The issue with COVID and herd imunity is that it is too fast to isolated, and stop from getting traction, but also to slow to actually induce immune response in enough people fast enough to get those antibodies active AT SAME TIME"
73	Sun Nov 28 23:59:27 +0000 2021	1.46511e+18	+	CS	3	Evidence that devices do remove Covid from air (in hospital environment) https://t.co/ec7LCHiw7V
90	Sun Nov 28 23:59:22 +0000 2021	1.46511e+18	+	CT	5	@drtobbe @aginnt COVID has always had those potential symptoms. They aren't new with Omicron.
91	Sun Nov 28 23:59:21 +0000 2021	1.46511e+18	+	CV	1	Fully population in Cuba are being vaccinated with Booster VS covid-19. More than 90% efficasy!!  High protection!!! Dr Fauci has suggested It too!!
104	Sun Nov 28 23:59:16 +0000 2021	1.46511e+18	+	CY	0	The fact it was a concern in my household when I have covid that I might’ve accidentally gave it to Thomas Rhett and his family
113	Sun Nov 28 23:59:13 +0000 2021	1.46511e+18	+	CV	0	"The way things are going, vaccination will be a weekly event! #Omicron"
114	Sun Nov 28 23:59:13 +0000 2021	1.46511e+18	+	CV	2	@AlanStout19 @action_northern So as a Doctor. You are giving out the names of children that are eligible for vaccination.  You get paid for their names also get paid if they get the Vax. Is this correct. If so you should all be ashamed of yourself.  99.8 survival.
179	Sun Nov 28 23:58:49 +0000 2021	1.46511e+18	+	CV	1	@EdwardStockwell Damn I got Moderna.
181	Sun Nov 28 23:58:47 +0000 2021	1.46511e+18	+	CY	17	LA: gets turned into bangtanland  canada: gets a new covid variant
184	Sun Nov 28 23:58:46 +0000 2021	1.46511e+18	+	CV	1	@KryptonDon @jontalotta @WSJ Multiple studies show no reduced likelihood of infection with vaccination.  They show the same rate of spread in unvaccinated and vaccinated populations.  With hundreds of thousands of cases studied.  Only lowers likelihood of sever case.
197	Sun Nov 28 23:58:38 +0000 2021	1.46511e+18	+	CL	0	"@TaylorEdLead Made good calls regarding half day schedules, setting up district wide Covid testing, and creating vaccination clinics for our 5-11s. This is what we’ve been waiting for: Leadership. #ProudOfU #UnionStrong #TwpUnionSchools"
198	Sun Nov 28 23:58:37 +0000 2021	1.46511e+18	+	CY	12	"Looking back at the level of ridiculous my hair got to during COVID when barbers were closed has me in shambles.   TOUGH look, great interview - #StickTaps to The Great Dane @mads_sogaard 👊🏻 https://t.co/CDSRulU7wl"
200	Sun Nov 28 23:58:37 +0000 2021	1.46511e+18	+	CV	2	"@Lzrdonawndwpan1 @michlwatkins @oopsiedaisy73 When I made an appointment for my 17yo to get his flu shot, I checked off that he’d like the covid booster, too, figuring I’d might as well try.  When he went to his appointment, they confirmed his second dose was 6 months prior then gave him the booster. Definitely worth trying."
202	Sun Nov 28 23:58:36 +0000 2021	1.46511e+18	+	CS	0	Retweet selected by the https://t.co/kmOCQTFIJb team |  11 ways to boost morale in a COVID world #covid_ https://t.co/YIJFBsASnO https://t.co/HbUeKEDbMP
210	Sun Nov 28 23:58:33 +0000 2021	1.46511e+18	+	CR	0	@WestJet is now taking the obvious step to introduce RAPID PCR testing from @LuciraHealth as an option for air travelers.  Current laboratory PCR testing confirms your #COVID status 2-3 days ago.  $LHDX tests confirm it 30 min. ago.  https://t.co/S2yxSfyxoS
215	Sun Nov 28 23:58:30 +0000 2021	1.46511e+18	+	PL	105	"It took a while due to Covid, but this lovely parting gift from my Dublin parish friends has finally made it here. A watercolor of St. John Henry Newman’s University Church, Our Lady Seat of Wisdom, on St. Stephen’s Green. https://t.co/xMkofby2nK"
220	Sun Nov 28 23:58:28 +0000 2021	1.46511e+18	+	CV	4	"@realjoerobin @NewsForAllUK As someone who doesn't like the idea of mandatory vaccination BUT dislikes british tourism more, i think this is the only good thing my government has done"
238	Sun Nov 28 23:58:22 +0000 2021	1.46511e+18	+	CR	0	"San Jose Sharks place Evander Kane on waivers after betting allegations, COVID protocol suspension #CBSSports #NH... https://t.co/0F6ZFmRX7t"
247	Sun Nov 28 23:58:19 +0000 2021	1.46511e+18	+	CV	1	"The good news is, it only effects vaccinated people and half or actually 2/3rds of South Africa isn’t vaccinated. No need for hospital visit, everyone recovers at home - sounds like #JustAFlu  #flu #NewVariant #covid #vaccine #CovidVaccine #COVID19 #OmicronVariant #Omnicron https://t.co/bh67bP5Uyb"
253	Sun Nov 28 23:58:17 +0000 2021	1.46511e+18	+	CT	7	"@henchnips @handmadekathy @TheFrankmanMN @MaryOskii @SallyJiggles @Twitter No, actually. Variants arise when the virus spreads a lot. The unvaccinated are contributors to that, the vaccinated reducing it.  https://t.co/EbfRzvvwcc"
269	Sun Nov 28 23:58:13 +0000 2021	1.46511e+18	+	CY	0	Early Treatment for Covid-19 with SARS-CoV-2 Neutralizing Antibody Sotrovimab | NEJM https://t.co/qNSiPQrm8c
291	Sun Nov 28 23:58:08 +0000 2021	1.46511e+18	+	CY	2	Therapy dogs are being brought to COVID-19 vaccination clinics to help people -- including children -- who are nervous about getting their shots. https://t.co/ThVdYlREGH
297	Sun Nov 28 23:58:06 +0000 2021	1.46511e+18	+	CV	0	"@parisofprairie Glad you’re here to tell your story and encourage vaccination. Happiest of birthdays, too!!! 🖖"
298	Sun Nov 28 23:58:05 +0000 2021	1.46511e+18	+	CP	0	@denisewu I get mine next week!  I have a face for mask apparel soooo…. I’m keeping mine in even after covid.  🤷‍♂️
299	Sun Nov 28 23:58:05 +0000 2021	1.46511e+18	+	CV	3	GLDSSA community! Another vaccination event is coming up on December 4th! All info is here! Take advantage of this opportunity!!! #OneTeamUnaFamilia #YesWeCanSiSePuede https://t.co/IsNkXMrYoC
300	Sun Nov 28 23:58:05 +0000 2021	1.46511e+18	+	CV	0	its my first vaccination today so i dont really know if i can watch it later 😭😭
343	Sun Nov 28 23:57:53 +0000 2021	1.46511e+18	+	CY	0	"@HankMFRearden @zerohedge ""more supply chain shocks""  perhaps some but minor compared to late 2021 digging out of the 2020 Covid supply-demand mismatch"
349	Sun Nov 28 23:57:49 +0000 2021	1.46511e+18	+	CP	0	@5_Coogs A dear friend of mine is going through chemo.  She already masked before Covid but now she uses a mask and shield.  I avoid judging people bc I don’t know what they are going through in life.
357	Sun Nov 28 23:57:44 +0000 2021	1.46511e+18	+	CS	0	"@HZiauddeen Vaccines have always been the way out, regardless of isolating, masks, track &amp; trace etc which were merely measures designed to slow down transmission until the vulnerable were vaccinated.  Immunity through vaccination or infection are the way out. Everything else is irrelevant."
366	Sun Nov 28 23:57:40 +0000 2021	1.46511e+18	+	CV	11	should i get a booster shot tomorrow 4 the covid vaccine
368	Sun Nov 28 23:57:40 +0000 2021	1.46511e+18	+	CY	2	"@LesaRenee333 Even without Covid, some people never get to experience what you did. Treasure your memories and know that you are fortunate."
374	Sun Nov 28 23:57:38 +0000 2021	1.46511e+18	+	CV	6	"Our three youngest grandchildren got their Covid vaccines today-6 8, and 10 years old and the 8 year old has cancer. If they can get the vaccine, so can you."
379	Sun Nov 28 23:57:37 +0000 2021	1.46511e+18	+	CS	0	"So with all scaremongering Omicron reporting going on at the moment, let's all take a time out &amp; listen to Dr Angelique Coetzee, the person who first discovered the new covid variant.. permission to laugh at all the folks wanting tougher restrictions afterwards, is granted ;-) https://t.co/WS0t5PruPe"
2	Mon Nov 29 23:55:00 +0000 2021	1.46547e+18	+	CV	0	"@Breaking911 Great! Get vaxxed people! The COVID vax is simply a medication, it's not the mark of the beast! As it has nothing to do with buying and selling. The real mark is all about buying and selling!  https://t.co/FD7DwLG2UZ"
3	Mon Nov 29 23:55:26 +0000 2021	1.46547e+18	+	CV	1	@hmwsgx I think we just have to accept a new normal.  We are going to live with Covid variants the rest of our lives.  That means regular new vaccinations as necessary. It will probably slow down quite a bit from global epidemic status. But it seems like it's here to stay.
11	Mon Nov 29 23:54:27 +0000 2021	1.46547e+18	+	PL	1	"Incarceration rates in the NWT are at an all time low. We have capacity for 252 but only 74 inmates. COVID plays a big role in this, hard to tell how much crime has gone down or just enforcement of it. Still a backlog in the courts but also push for alternative measures. #NWTpoli"
13	Mon Nov 29 23:56:06 +0000 2021	1.46547e+18	+	CR	1	@MarloWordyBird Christchurch 100% compliance and zero covid.  Wonder if there's a connection?
14	Mon Nov 29 23:55:38 +0000 2021	1.46547e+18	+	CR	0	@Billius27 Not to worry.  @JustinTrudeau is banning all flights from AFRICA.  Also @fordnation is not easing anything.  It’s time to get vigilant.  booster time for 🇨🇦 👍 ~ @pfizer
