	time	id	sentiment	topic	like	text
0	Sun Nov 28 23:59:58 +0000 2021	1465108237225762816	/	CV	2	"If you've had covid, we're you vaxxed?"
1	Sun Nov 28 23:59:58 +0000 2021	1465108236063981570	/	CV	19	How did we just normalize and created a right for anyone to demand and receive private information about the health and vaccination status of an individual? They even have GDPR rules in EU.
2	Sun Nov 28 23:59:58 +0000 2021	1465108235656916994	-	CT	1	"Omicron Variant Now in North America. Canadian officials announced Sunday that the omicron variant of Covid-19 has reached North America, with two cases appearing in the province of Ontario. #Omicron   https://t.co/PZjLJDPSUh"
3	Sun Nov 28 23:59:56 +0000 2021	1465108227113299972	-	CY	1	@Editor_of_Eric It is the other way. COVID gets them.
4	Sun Nov 28 23:59:56 +0000 2021	1465108226832281602	-	CT	1	how many COVID variants are there?? A new one every month😶‍🌫️
5	Sun Nov 28 23:59:55 +0000 2021	1465108224026177540	/	CY	6	"YIMBY, NIMBY, urbanism, housing density is probably about as interesting a conflict to me as covid. In that I find it really tiresome as part of the political war zones today"
6	Sun Nov 28 23:59:55 +0000 2021	1465108221891420162	/	CL	0	"@Charlie29472312 @JusticethenLove @LewisGrover @mckenziesgold1 @TomiLahren It looks like you shared a cached AMP link. These should load faster, but AMP is controversial because of concerns over privacy and the Open Web: https://t.co/URCQjCtc4C Maybe check out the uncached page instead: https://t.co/7DniN6wgyq"
7	Sun Nov 28 23:59:55 +0000 2021	1465108221610401793	/	CY	0	"like i barely understood anything they were saying, i only realized COVID was a thing in the show when julien said she wasn’t in the imagine video 😭😭"
8	Sun Nov 28 23:59:54 +0000 2021	1465108219932524546	+	CS	0	@STForeignDesk Origin of Covid-19 coronavirus. The WHO must investigate all evidence especially in countries where there are early reports of the coronavirus appearing.  https://t.co/LuKWae9qDu
9	Sun Nov 28 23:59:54 +0000 2021	1465108218636652547	+	CS	0	"@chrisdiacon A comparison between new Covid cases and deaths (the peak on the right, the current wave) suggests that the vaccine is indeed only partially successful in stopping transmission. However in terms of keeping deaths low it’s very successful indeed. https://t.co/5qRMzK8Cpx"
10	Sun Nov 28 23:59:53 +0000 2021	1465108214815539206	+	CV	1	@Alfenoide @dadourado This study confirms that COVID-19 vaccination reduces the risk of delta variant infection and also accelerates viral clearance in the context of the delta variant: confirma que a vacinacao reduz risco infeccao Delta e acelera o processo de cura
11	Sun Nov 28 23:59:53 +0000 2021	1465108213376983055	-	CT	0	"Covid is out here scooping up the hottest gender names.   ""Omicron"" has to be the coolest pronoun.  #COVIDIOTS #covidvariant #COVID19 #OmicronVariant #Omicorn #variant #comedy #comedian #sundayvibes #Sundayfeeling #Sundaymood #Sundaythoughts #oof #transgender #pronouns"
12	Sun Nov 28 23:59:52 +0000 2021	1465108209635512329	+	CV	0	"@AndrewPDuncan2 The solution is easy and simple: give the license to Moderna, Biontech, A&amp;Z , and J&amp;J. But the government only cares its face and would like to keep the border closed as a 'new normal'. Creating fear can justify all the restrictions."
13	Sun Nov 28 23:59:51 +0000 2021	1465108207991463944	/	CS	0	@scam661 @Davein2d @LWinB @30ACTruth @atrupar Definitely not safe https://t.co/9Fii4vgC1g
14	Sun Nov 28 23:59:51 +0000 2021	1465108205919375361	/	CV	3	@SamuelHillNZ I will vote on vax mandates and covid passports
15	Sun Nov 28 23:59:51 +0000 2021	1465108204761747456	-	CV	1	@EDenhoff @sabrinagrover @KenBoessenkool G20 needs to pay for Global Covid Vaccination!
16	Sun Nov 28 23:59:51 +0000 2021	1465108204518531078	-	CY	0	"@theOrangetechie @Ottergoose work for COVID? Dr. James Crowe: And lo and behold, if we took blood cells out of these-- nearly 100-year-old people, they still had immune cells that were circulating in their body that had reacted to the 1918 influenza. That was one of those moments for me when I just said, Wow"
17	Sun Nov 28 23:59:50 +0000 2021	1465108202736001029	-	CL	0	"@TheBabylonBee @Oilfield_Rando Since they accused/blamed Trump inaction for the initial spread of COVID. By that logic if the new variant gets here and kills hundreds of thousands, won’t that be on Biden? Using the same logic Biden should be able to stop it cold."
18	Sun Nov 28 23:59:50 +0000 2021	1465108201016279048	-	CY	2	"@John_Dearie Have you read the book Scott Atlas wrote?  He used actual charts and studies at COVId meets at WH, while Fauci used computer models?  Wow. I think I’d rather listen to an actual doctor who reads and studies, than a token “Scientist” 🙄"
19	Sun Nov 28 23:59:50 +0000 2021	1465108200575934467	+	CY	3	We are worked to the bone even without COVID… COVID just gave them an excuse. Save your sympathy. https://t.co/WSLeih73n5 https://t.co/l6e7epfMNU
20	Sun Nov 28 23:59:49 +0000 2021	1465108198424199170	+	CY	0	"Doctors warn hospital labour wards are at breaking point as pregnant women who refuse Covid jabs plunge maternity services into 'crisis' with healthy mothers being 'abandoned' mid-labour, midwives self-isolating and birth units forced to close #NewsBreak https://t.co/Ifv6rQnjnZ"
21	Sun Nov 28 23:59:48 +0000 2021	1465108195899166725	+	CT	0	"Omicron is the new COVID kid on the block: five steps to avoid, ten to take immediately | The world needs to learn to live with the virus. And governments must follow the science a #lead generation https://t.co/v60JEBw1NQ"
22	Sun Nov 28 23:59:48 +0000 2021	1465108193768620032	-	CY	1	"Good article. ""It’s less that the social fabric has grown frayed, its edges unravelling, than that the so-called social fabric is now manufactured, for profit, by monopolistic businesses, a cheap, throwaway fake."" https://t.co/pSfWhmTu8D"
23	Sun Nov 28 23:59:48 +0000 2021	1465108192275222534	-	CV	0	@ronisversion Omg was it as bad as the second dose 😭 I got moderna and it took me out for three days 😭😭
24	Sun Nov 28 23:59:47 +0000 2021	1465108188680757248	-	CY	1	Fauci killed 40 million animals in medical experiments! Fauci was behind the creation of SARS-CoV-2 in 2006 which became covid19 in the Wuhan which he Bill Gates were both involved in! Fauci was pushing everyone to wear facemask back in 2001 for the aids virus he was also behind!
25	Sun Nov 28 23:59:46 +0000 2021	1465108187053391875	+	CS	2	How mind numbingly stupid do you have to be to say that if only vaccinated people can enter australia then how did the latest strain get here? If you don’t know by now that it can be carried and spread even after the vaccination then please hand in your genitals and do not breed
26	Sun Nov 28 23:59:46 +0000 2021	1465108185782566922	-	CL	7	Hypocrisy at its finest!  #MakeAmericaGreatAgain #MAGA #coronavirus https://t.co/Y6SyJIXN2z
27	Sun Nov 28 23:59:46 +0000 2021	1465108184549498882	-	CS	1	@bric_house @MysterySolvent @smc429 Not true. Total falsehood. Reporting your account for false covid information.
28	Sun Nov 28 23:59:46 +0000 2021	1465108184130019328	-	CY	1	@squirrel_hockey @DrMgbeke @cindyhart58 @VinGuptaMD You know what also does serious damage? Covid. The vent. The ecmo.
29	Sun Nov 28 23:59:46 +0000 2021	1465108183723257874	/	CV	19	@GillianMcKeith I had the Pfizer jab and every time I see a tweet by mckeith it looks like bollocks
30	Sun Nov 28 23:59:45 +0000 2021	1465108181022093319	/	CY	0	"Ted Cruz and Donald Trump Jr. taunt the WHO for skipping 'Xi' to name the new coronavirus variant 'Omicron'  If Ted Cruz and Don Jr were to say that some stock was a disaster, I'd buy it in an instant.  They are reliable indicators of douchebaggery or the absence thereof."
31	Sun Nov 28 23:59:45 +0000 2021	1465108179897831429	-	PL	0	"@AndrewFeinberg Listen, @RonnyJacksonTX , I  don't know if you have ever lost anyone to COVID-19 or any of the VARIANTS,  but the rest of us have! So shut up and let us do the work to save lives! Ronny, stop OBSTRUCTING,  that's Donny's job."
32	Sun Nov 28 23:59:44 +0000 2021	1465108179197517829	-	CV	13	Honestly this is even twice as fucked up when you consider just how many people in the USA got away with fake vaccination cards to travel. It’s just sickening really.
33	Sun Nov 28 23:59:44 +0000 2021	1465108178593804288	-	CY	0	"$XAIR($15.87) Does this need anymore bullish news? No, but we keep getting it. THIS IS NOW ALSO A COVID PLAY!!!! https://t.co/Iwxj5ID0kj"
34	Sun Nov 28 23:59:44 +0000 2021	1465108175728754694	-	CY	0	"The dude trusts articles and statistics without realizing that like quotes from people, statistics can also be false. Even the CDC got trialed for covid statistical manipulation. In the end, you have to take everything on the internet with a grain of salt, including your exp. https://t.co/aI70l4PgP6"
35	Sun Nov 28 23:59:43 +0000 2021	1465108175045025795	+	CL	4	@POTUS works for us on a Sunday to stay current on covid  TFG would be golfing https://t.co/YdOq7SX7DZ
38	Sun Nov 28 23:59:43 +0000 2021	1465108171995979785	-	CY	0	@ETSshow @NancyMace @AnnieAndrewsMD @atrupar How about offering a substantive response?  Or perhaps you’re unable to.  The relative success FL has had in dealing with COVID is a direct result of ignoring the authoritarian impulses of “experts” such as yourself.
39	Sun Nov 28 23:59:42 +0000 2021	1465108170649612290	-	CS	0	"@GovRonDeSantis @GovRonDeSantis if you really believe this, why are you with holding the Florida Covid numbers?!?! Show us the real numbers ron"
40	Sun Nov 28 23:59:42 +0000 2021	1465108170020253699	/	CT	12	China says zero-Covid policy will protect it against Omicron variant https://t.co/ZWhthngy6Q
41	Sun Nov 28 23:59:42 +0000 2021	1465108169311637510	/	CR	0	Covid-19 Australia: Omicron variant throws Australia’s international and state borders into chaos https://t.co/XDnIs5TtBj
