output_3
	time	id	topic	sentiments	like	text
0	Tue Nov 30 23:58:39 +0000 2021	1465832681355329543	CV	=	7	@13thNemesis @kleymo1 @aginnt I am for vaccination - especially for the vulnerable populaion . There is no evidence that transmission rate is significantly lower in vaacinated people than unvaccinated . Certainly not enough to justify state police thugs beating your fellow citizens.
1	Tue Nov 30 23:55:54 +0000 2021	1465831987755712518	CV	-	1	"Too little too late.  A 40-Year-Old Woman Died of COVID After Her Daughter, Who Works in Health Care, 'Begged' Her to Get Vaccinated https://t.co/VhPaLGDfWc"
2	Tue Nov 30 23:56:11 +0000 2021	1465832058358489090	CT	=	0	"Concerned, but not panicking.  'This is not going to be good': Moderna CEO on what scientists are telling him about the omicron coronavirus variant https://t.co/1Hq4s8sDTG"
3	Tue Nov 30 23:56:49 +0000 2021	1465832217763008521	PL	-	2	@AdelNotAdele @fnveenie Draft has always my favourite hockey day of the year. Before Covid I would drag people to my house that don’t even follow hockey to “party”.
4	Tue Nov 30 23:58:11 +0000 2021	1465832563772067846	PL	+	5	thought i had covid but turns out my nasal pathways were just inflamed because i hit isaac's juul too many times on saturday
5	Tue Nov 30 23:55:05 +0000 2021	1465831783379918848	CL	+	0	@SpecNews1RDU: 'Honor of a lifetime': DHHS @SecMandyCohen stepping down after leading NC in  pandemic  https://t.co/0zhIZ9t0rK
6	Tue Nov 30 23:57:44 +0000 2021	1465832451717148680	CP	+	0	@ScottAdamsSays The WHO may 2021 list of quake covid remedies! And how to stop misinformation = how to stop debate!  https://t.co/X5beAuvRP0
7	Tue Nov 30 23:55:29 +0000 2021	1465831884710199297	CP	+	1	Family. @GIANTmicrobes. Big vax arrived today. (and it's coincidently my birthday) soooooo... it was meant to be. Me and my Covid family celebrate. Got my booster. SO HAPPY! SOO HAPPY. https://t.co/zuuhEoOLoL
8	Tue Nov 30 23:58:18 +0000 2021	1465832591290945536	CS	-	0	I need to buy these plane tickets but this new variant gotta chill 😩  And my coworker just took his babies to Florida now they both have Covid 😢 I’m nervous af
9	Tue Nov 30 23:56:46 +0000 2021	1465832208414003201	CY	=	3	"A record numbers of investors started buying and selling shares for the first time last year, but uncertainty surrounding the Omicron variant of COVID-19 is now giving many of the newbies their first real taste of share price volatility | @jcollett_money https://t.co/RgwmKPUA4I"
11	Tue Nov 30 23:56:44 +0000 2021	1465832197923823623	CV	+	0	@AGJeffLandry Your comment doesn’t make any sense for any rational human being. Feeding into anti-vaccination and COVID denial conspiracies is all you do. Adding to the politicized non-sense narrations is all you do.
12	Tue Nov 30 23:56:25 +0000 2021	1465832119989858304	CV	=	0	$MRK Merck is for Covid patients with preexisting conditions. Pfizer is for Covid patients without any pre existing conditions. They cannot be compared like orange and apple 📶
